month,client_id,client_first_name,client_last_name,client_phone,client_email,month_total_service_count,month_total_service_cost,month_max_service_cost,month_min_service_cost,month_avg_service_cost
2021-01,1,hyfbestijiljsby,gitaccnekygqwal,909165790595,hyfbestijiljsby.gitaccnekygqwal@example.com,1,200,200,200,200.0000000000000000
2021-01,2,xtedagnkydopnfa,onisoqwdmjmoeam,688314090885,xtedagnkydopnfa.onisoqwdmjmoeam@example.com,1,961,961,961,961.0000000000000000
2021-01,3,wwncgstqjnwfonb,uwlseaklagkcpwu,828548881726,wwncgstqjnwfonb.uwlseaklagkcpwu@example.com,1,914,914,914,914.0000000000000000
2021-01,4,wplqyvjyzzowone,ssugymsuxcuvddp,478146477798,wplqyvjyzzowone.ssugymsuxcuvddp@example.com,0,0,0,0,0
2021-01,5,qtzrnfpjxqoufui,dwsnxvxruqydrvn,851410081460,qtzrnfpjxqoufui.dwsnxvxruqydrvn@example.com,0,0,0,0,0
2021-01,6,cyrojcfcipiiivi,zebnwdizhuagmhy,048948013824,cyrojcfcipiiivi.zebnwdizhuagmhy@example.com,0,0,0,0,0
2021-01,7,pbxoglmpqdyxlzc,sdianzckoauwmnd,486601807235,pbxoglmpqdyxlzc.sdianzckoauwmnd@example.com,0,0,0,0,0
2021-01,8,akjcjfgjydrdflp,qseyxiabvzfpuas,754737694749,akjcjfgjydrdflp.qseyxiabvzfpuas@example.com,1,815,815,815,815.0000000000000000
2021-01,9,tikggfqwkknbgcd,xndpdiaycsqdify,127277675684,tikggfqwkknbgcd.xndpdiaycsqdify@example.com,2,628,340,288,314.0000000000000000
2021-01,10,cetdrqqgzguzkan,rwwounrggcyzojw,136311555932,cetdrqqgzguzkan.rwwounrggcyzojw@example.com,0,0,0,0,0
2021-01,11,dhwrisobuvlyjfo,elclqszlwhkicvj,664468553390,dhwrisobuvlyjfo.elclqszlwhkicvj@example.com,0,0,0,0,0
2021-01,12,dzxndrenvbzrawh,hleyvcfxjohcmeh,168320776620,dzxndrenvbzrawh.hleyvcfxjohcmeh@example.com,0,0,0,0,0
2021-01,13,elsoozhujzmqxwc,iordhffdfzckwvm,734470700427,elsoozhujzmqxwc.iordhffdfzckwvm@example.com,0,0,0,0,0
2021-01,14,hyksupwxwfpjffg,pniwmwrcluovzlp,037274904788,hyksupwxwfpjffg.pniwmwrcluovzlp@example.com,2,1248,951,297,624.0000000000000000
2021-01,15,bltjyskqfgqqyoy,kiglyvbvqsiaulx,873805538646,bltjyskqfgqqyoy.kiglyvbvqsiaulx@example.com,1,807,807,807,807.0000000000000000
